# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:01:17 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04193500 Maumee River at Waterville OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04193500
#            TS   parameter     statistic     Description
#        109477       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109477_00060_00003	109477_00060_00003_cd	
USGS	04193500	2000-01-31	300	A:e	
USGS	04193500	2000-02-01	290	A:e	
USGS	04193500	2000-02-02	280	A:e	
USGS	04193500	2000-02-03	275	A:e	
USGS	04193500	2000-02-04	270	A:e	
USGS	04193500	2000-02-05	265	A:e	
USGS	04193500	2000-02-06	260	A:e	
USGS	04193500	2000-02-07	255	A:e	
USGS	04193500	2000-02-08	250	A:e	
USGS	04193500	2000-02-09	250	A:e	
USGS	04193500	2000-02-10	500	A:e	
USGS	04193500	2000-02-11	700	A:e	
USGS	04193500	2000-02-12	900	A:e	
USGS	04193500	2000-02-13	1500	A:e	
USGS	04193500	2000-02-14	2900	A:e	
USGS	04193500	2000-02-15	2300	A:e	
USGS	04193500	2000-02-16	2000	A:e	
USGS	04193500	2000-02-17	1800	A:e	
USGS	04193500	2000-02-18	1600	A:e	
USGS	04193500	2000-02-19	2000	A:e	
USGS	04193500	2000-02-20	3600	A:e	
USGS	04193500	2000-02-21	4500	A:e	
USGS	04193500	2000-02-22	4100	A:e	
USGS	04193500	2000-02-23	9320	A	
USGS	04193500	2000-02-24	15000	A	
USGS	04193500	2000-02-25	16700	A	
USGS	04193500	2000-02-26	14400	A	
USGS	04193500	2000-02-27	11600	A	
USGS	04193500	2000-02-28	11600	A	
USGS	04193500	2000-02-29	9730	A	
USGS	04193500	2000-03-01	6470	A	
USGS	04193500	2000-03-02	4820	A	
USGS	04193500	2000-03-03	4100	A	
USGS	04193500	2000-03-04	3510	A	
USGS	04193500	2000-03-05	2550	A	
USGS	04193500	2000-03-06	1540	A	
USGS	04193500	2000-03-07	1370	A	
USGS	04193500	2000-03-08	1140	A	
USGS	04193500	2000-03-09	1570	A	
USGS	04193500	2000-03-10	1200	A	
USGS	04193500	2000-03-11	1310	A	
USGS	04193500	2000-03-12	1470	A	
USGS	04193500	2000-03-13	1250	A	
USGS	04193500	2000-03-14	1120	A	
USGS	04193500	2000-03-15	1230	A	
USGS	04193500	2000-03-16	1240	A	
USGS	04193500	2000-03-17	1900	A	
USGS	04193500	2000-03-18	2110	A	
USGS	04193500	2000-03-19	2450	A	
USGS	04193500	2000-03-20	2790	A	
USGS	04193500	2000-03-21	9650	A	
USGS	04193500	2000-03-22	12400	A	
USGS	04193500	2000-03-23	9730	A	
USGS	04193500	2000-03-24	7030	A	
USGS	04193500	2000-03-25	5780	A	
USGS	04193500	2000-03-26	4280	A	
USGS	04193500	2000-03-27	3380	A	
USGS	04193500	2000-03-28	3970	A	
USGS	04193500	2000-03-29	4660	A	
USGS	04193500	2000-03-30	5280	A	
USGS	04193500	2000-03-31	3840	A	
USGS	04193500	2000-04-01	3620	A	
USGS	04193500	2000-04-02	2770	A	
USGS	04193500	2000-04-03	2340	A	
USGS	04193500	2000-04-04	2250	A	
USGS	04193500	2000-04-05	1860	A	
USGS	04193500	2000-04-06	2220	A	
USGS	04193500	2000-04-07	1260	A	
USGS	04193500	2000-04-08	2320	A	
USGS	04193500	2000-04-09	8350	A	
USGS	04193500	2000-04-10	12500	A	
USGS	04193500	2000-04-11	11100	A	
USGS	04193500	2000-04-12	7460	A	
USGS	04193500	2000-04-13	6150	A	
USGS	04193500	2000-04-14	5050	A	
USGS	04193500	2000-04-15	3820	A	
USGS	04193500	2000-04-16	3040	A	
USGS	04193500	2000-04-17	2460	A	
USGS	04193500	2000-04-18	2810	A	
USGS	04193500	2000-04-19	3970	A	
USGS	04193500	2000-04-20	7450	A	
USGS	04193500	2000-04-21	34200	A	
USGS	04193500	2000-04-22	34300	A	
USGS	04193500	2000-04-23	23400	A	
USGS	04193500	2000-04-24	15200	A	
USGS	04193500	2000-04-25	10800	A	
USGS	04193500	2000-04-26	7890	A	
USGS	04193500	2000-04-27	6070	A	
USGS	04193500	2000-04-28	5320	A	
USGS	04193500	2000-04-29	3890	A	
USGS	04193500	2000-04-30	3380	A	
USGS	04193500	2000-05-01	2920	A	
USGS	04193500	2000-05-02	3950	A	
USGS	04193500	2000-05-03	4860	A	
USGS	04193500	2000-05-04	4260	A	
USGS	04193500	2000-05-05	3310	A	
USGS	04193500	2000-05-06	2650	A	
USGS	04193500	2000-05-07	2440	A	
USGS	04193500	2000-05-08	2330	A	
USGS	04193500	2000-05-09	2070	A	
USGS	04193500	2000-05-10	5850	A	
USGS	04193500	2000-05-11	8020	A	
USGS	04193500	2000-05-12	7260	A	
USGS	04193500	2000-05-13	5090	A	
USGS	04193500	2000-05-14	3950	A	
USGS	04193500	2000-05-15	2470	A	
USGS	04193500	2000-05-16	2160	A	
USGS	04193500	2000-05-17	2150	A	
USGS	04193500	2000-05-18	1990	A	
USGS	04193500	2000-05-19	5750	A	
USGS	04193500	2000-05-20	12400	A	
USGS	04193500	2000-05-21	11800	A	
USGS	04193500	2000-05-22	8960	A	
USGS	04193500	2000-05-23	8160	A	
USGS	04193500	2000-05-24	14000	A	
USGS	04193500	2000-05-25	12600	A	
USGS	04193500	2000-05-26	8800	A	
USGS	04193500	2000-05-27	7200	A	
USGS	04193500	2000-05-28	10100	A	
USGS	04193500	2000-05-29	22200	A	
USGS	04193500	2000-05-30	18600	A	
USGS	04193500	2000-05-31	13200	A	
USGS	04193500	2000-06-01	9320	A	
USGS	04193500	2000-06-02	7410	A	
USGS	04193500	2000-06-03	5580	A	
USGS	04193500	2000-06-04	4540	A	
USGS	04193500	2000-06-05	3770	A	
USGS	04193500	2000-06-06	11000	A	
USGS	04193500	2000-06-07	17500	A	
USGS	04193500	2000-06-08	12600	A	
USGS	04193500	2000-06-09	8190	A	
USGS	04193500	2000-06-10	5530	A	
USGS	04193500	2000-06-11	4370	A	
USGS	04193500	2000-06-12	3330	A	
USGS	04193500	2000-06-13	4750	A	
USGS	04193500	2000-06-14	7180	A	
USGS	04193500	2000-06-15	22300	A	
USGS	04193500	2000-06-16	26400	A	
USGS	04193500	2000-06-17	23200	A	
USGS	04193500	2000-06-18	19100	A	
USGS	04193500	2000-06-19	20200	A	
USGS	04193500	2000-06-20	18000	A	
USGS	04193500	2000-06-21	19500	A	
USGS	04193500	2000-06-22	20200	A	
USGS	04193500	2000-06-23	15300	A	
USGS	04193500	2000-06-24	10800	A	
USGS	04193500	2000-06-25	12500	A	
USGS	04193500	2000-06-26	26000	A	
USGS	04193500	2000-06-27	23300	A	
USGS	04193500	2000-06-28	15500	A	
USGS	04193500	2000-06-29	10600	A	
USGS	04193500	2000-06-30	8440	A	
USGS	04193500	2000-07-01	6810	A	
USGS	04193500	2000-07-02	5990	A	
USGS	04193500	2000-07-03	5300	A	
USGS	04193500	2000-07-04	5830	A	
USGS	04193500	2000-07-05	11200	A	
USGS	04193500	2000-07-06	9410	A	
USGS	04193500	2000-07-07	6690	A	
USGS	04193500	2000-07-08	5140	A	
USGS	04193500	2000-07-09	4060	A	
USGS	04193500	2000-07-10	3100	A	
USGS	04193500	2000-07-11	2300	A	
USGS	04193500	2000-07-12	1800	A	
USGS	04193500	2000-07-13	1650	A	
USGS	04193500	2000-07-14	1270	A	
USGS	04193500	2000-07-15	1230	A	
USGS	04193500	2000-07-16	1170	A	
USGS	04193500	2000-07-17	1080	A	
USGS	04193500	2000-07-18	887	A	
USGS	04193500	2000-07-19	944	A	
USGS	04193500	2000-07-20	1150	A	
USGS	04193500	2000-07-21	894	A	
USGS	04193500	2000-07-22	683	A	
USGS	04193500	2000-07-23	633	A	
USGS	04193500	2000-07-24	688	A	
USGS	04193500	2000-07-25	683	A	
USGS	04193500	2000-07-26	650	A	
USGS	04193500	2000-07-27	650	A	
USGS	04193500	2000-07-28	579	A	
USGS	04193500	2000-07-29	682	A	
USGS	04193500	2000-07-30	1460	A	
USGS	04193500	2000-07-31	2470	A	
USGS	04193500	2000-08-01	1940	A	
USGS	04193500	2000-08-02	2400	A	
USGS	04193500	2000-08-03	2040	A	
USGS	04193500	2000-08-04	3010	A	
USGS	04193500	2000-08-05	2180	A	
USGS	04193500	2000-08-06	1990	A	
USGS	04193500	2000-08-07	3660	A	
USGS	04193500	2000-08-08	4320	A	
USGS	04193500	2000-08-09	4470	A	
USGS	04193500	2000-08-10	3520	A	
USGS	04193500	2000-08-11	2300	A	
USGS	04193500	2000-08-12	1340	A	
USGS	04193500	2000-08-13	1320	A	
USGS	04193500	2000-08-14	895	A	
USGS	04193500	2000-08-15	822	A	
USGS	04193500	2000-08-16	676	A	
USGS	04193500	2000-08-17	511	A	
USGS	04193500	2000-08-18	508	A	
USGS	04193500	2000-08-19	427	A	
USGS	04193500	2000-08-20	436	A	
USGS	04193500	2000-08-21	605	A	
USGS	04193500	2000-08-22	546	A	
USGS	04193500	2000-08-23	692	A	
USGS	04193500	2000-08-24	462	A	
USGS	04193500	2000-08-25	776	A	
USGS	04193500	2000-08-26	750	A	
USGS	04193500	2000-08-27	800	A	
USGS	04193500	2000-08-28	1580	A	
USGS	04193500	2000-08-29	2480	A	
USGS	04193500	2000-08-30	2830	A	
USGS	04193500	2000-08-31	1890	A	
USGS	04193500	2000-09-01	1480	A	
USGS	04193500	2000-09-02	1050	A	
USGS	04193500	2000-09-03	839	A	
USGS	04193500	2000-09-04	692	A	
USGS	04193500	2000-09-05	582	A	
USGS	04193500	2000-09-06	529	A	
USGS	04193500	2000-09-07	557	A	
USGS	04193500	2000-09-08	522	A	
USGS	04193500	2000-09-09	472	A	
USGS	04193500	2000-09-10	707	A	
USGS	04193500	2000-09-11	2250	A	
USGS	04193500	2000-09-12	3380	A	
USGS	04193500	2000-09-13	4260	A	
USGS	04193500	2000-09-14	4920	A	
USGS	04193500	2000-09-15	5430	A	
USGS	04193500	2000-09-16	3510	A	
USGS	04193500	2000-09-17	2800	A	
USGS	04193500	2000-09-18	1860	A	
USGS	04193500	2000-09-19	1890	A	
USGS	04193500	2000-09-20	1460	A	
USGS	04193500	2000-09-21	1180	A	
USGS	04193500	2000-09-22	887	A	
USGS	04193500	2000-09-23	1110	A	
USGS	04193500	2000-09-24	3380	A	
USGS	04193500	2000-09-25	4220	A	
USGS	04193500	2000-09-26	4010	A	
USGS	04193500	2000-09-27	3550	A	
USGS	04193500	2000-09-28	2130	A	
USGS	04193500	2000-09-29	1560	A	
USGS	04193500	2000-09-30	1310	A	
USGS	04193500	2000-10-01	1250	A	
USGS	04193500	2000-10-02	920	A	
USGS	04193500	2000-10-03	678	A	
USGS	04193500	2000-10-04	765	A	
USGS	04193500	2000-10-05	1450	A	
USGS	04193500	2000-10-06	8450	A	
USGS	04193500	2000-10-07	9090	A	
USGS	04193500	2000-10-08	7950	A	
USGS	04193500	2000-10-09	6090	A	
USGS	04193500	2000-10-10	4070	A	
USGS	04193500	2000-10-11	2780	A	
USGS	04193500	2000-10-12	1690	A	
USGS	04193500	2000-10-13	1360	A	
USGS	04193500	2000-10-14	1360	A	
USGS	04193500	2000-10-15	1030	A	
USGS	04193500	2000-10-16	855	A	
USGS	04193500	2000-10-17	843	A	
USGS	04193500	2000-10-18	1090	A	
USGS	04193500	2000-10-19	936	A	
USGS	04193500	2000-10-20	705	A	
USGS	04193500	2000-10-21	645	A	
USGS	04193500	2000-10-22	582	A	
USGS	04193500	2000-10-23	715	A	
USGS	04193500	2000-10-24	900	A	
USGS	04193500	2000-10-25	893	A	
USGS	04193500	2000-10-26	783	A	
USGS	04193500	2000-10-27	716	A	
USGS	04193500	2000-10-28	583	A	
USGS	04193500	2000-10-29	644	A	
USGS	04193500	2000-10-30	597	A	
USGS	04193500	2000-10-31	576	A	
USGS	04193500	2000-11-01	668	A	
USGS	04193500	2000-11-02	1030	A	
USGS	04193500	2000-11-03	1300	A	
USGS	04193500	2000-11-04	823	A	
USGS	04193500	2000-11-05	500	A	
USGS	04193500	2000-11-06	438	A	
USGS	04193500	2000-11-07	586	A	
USGS	04193500	2000-11-08	612	A	
USGS	04193500	2000-11-09	858	A	
USGS	04193500	2000-11-10	1190	A	
USGS	04193500	2000-11-11	877	A	
USGS	04193500	2000-11-12	1520	A	
USGS	04193500	2000-11-13	3090	A	
USGS	04193500	2000-11-14	2770	A	
USGS	04193500	2000-11-15	2230	A	
USGS	04193500	2000-11-16	2420	A	
USGS	04193500	2000-11-17	2310	A	
USGS	04193500	2000-11-18	1700	A	
USGS	04193500	2000-11-19	1340	A	
USGS	04193500	2000-11-20	1610	A	
USGS	04193500	2000-11-21	1280	A	
USGS	04193500	2000-11-22	970	A	
USGS	04193500	2000-11-23	780	A	
USGS	04193500	2000-11-24	787	A	
USGS	04193500	2000-11-25	760	A	
USGS	04193500	2000-11-26	796	A	
USGS	04193500	2000-11-27	808	A	
USGS	04193500	2000-11-28	799	A	
USGS	04193500	2000-11-29	1060	A	
USGS	04193500	2000-11-30	1090	A	
USGS	04193500	2000-12-01	919	A	
USGS	04193500	2000-12-02	926	A	
USGS	04193500	2000-12-03	966	A	
USGS	04193500	2000-12-04	928	A	
USGS	04193500	2000-12-05	1100	A	
USGS	04193500	2000-12-06	610	A	
USGS	04193500	2000-12-07	667	A	
USGS	04193500	2000-12-08	772	A	
USGS	04193500	2000-12-09	737	A	
USGS	04193500	2000-12-10	868	A	
USGS	04193500	2000-12-11	1230	A	
USGS	04193500	2000-12-12	4070	A	
USGS	04193500	2000-12-13	5600	A	
USGS	04193500	2000-12-14	6880	A	
USGS	04193500	2000-12-15	6750	A	
USGS	04193500	2000-12-16	5620	A	
USGS	04193500	2000-12-17	11900	A	
USGS	04193500	2000-12-18	17500	A	
USGS	04193500	2000-12-19	14000	A:e	
USGS	04193500	2000-12-20	10000	A:e	
USGS	04193500	2000-12-21	7800	A:e	
USGS	04193500	2000-12-22	5200	A:e	
USGS	04193500	2000-12-23	3800	A:e	
USGS	04193500	2000-12-24	3000	A:e	
USGS	04193500	2000-12-25	2500	A:e	
USGS	04193500	2000-12-26	2100	A:e	
USGS	04193500	2000-12-27	1900	A:e	
USGS	04193500	2000-12-28	1700	A:e	
USGS	04193500	2000-12-29	1600	A:e	
USGS	04193500	2000-12-30	1500	A:e	
USGS	04193500	2000-12-31	1400	A:e	
USGS	04193500	2001-01-01	1350	A:e	
USGS	04193500	2001-01-02	1300	A:e	
USGS	04193500	2001-01-03	1200	A:e	
USGS	04193500	2001-01-04	1150	A:e	
USGS	04193500	2001-01-05	1100	A:e	
USGS	04193500	2001-01-06	1050	A:e	
USGS	04193500	2001-01-07	980	A:e	
USGS	04193500	2001-01-08	950	A:e	
USGS	04193500	2001-01-09	920	A:e	
USGS	04193500	2001-01-10	880	A:e	
USGS	04193500	2001-01-11	850	A:e	
USGS	04193500	2001-01-12	810	A:e	
USGS	04193500	2001-01-13	790	A:e	
USGS	04193500	2001-01-14	770	A:e	
USGS	04193500	2001-01-15	740	A:e	
USGS	04193500	2001-01-16	800	A:e	
USGS	04193500	2001-01-17	900	A:e	
USGS	04193500	2001-01-18	1100	A:e	
USGS	04193500	2001-01-19	1400	A:e	
USGS	04193500	2001-01-20	1700	A:e	
USGS	04193500	2001-01-21	2000	A:e	
USGS	04193500	2001-01-22	1700	A:e	
USGS	04193500	2001-01-23	1500	A:e	
USGS	04193500	2001-01-24	1300	A:e	
USGS	04193500	2001-01-25	1200	A:e	
USGS	04193500	2001-01-26	1100	A:e	
USGS	04193500	2001-01-27	1000	A:e	
USGS	04193500	2001-01-28	920	A:e	
USGS	04193500	2001-01-29	990	A:e	
USGS	04193500	2001-01-30	1700	A:e	
USGS	04193500	2001-01-31	4500	A:e	
USGS	04193500	2001-02-01	18000	A:e	
USGS	04193500	2001-02-02	17000	A:e	
USGS	04193500	2001-02-03	12000	A:e	
USGS	04193500	2001-02-04	9000	A:e	
USGS	04193500	2001-02-05	7000	A:e	
USGS	04193500	2001-02-06	6000	A:e	
USGS	04193500	2001-02-07	5200	A:e	
USGS	04193500	2001-02-08	5000	A:e	
USGS	04193500	2001-02-09	12000	A:e	
USGS	04193500	2001-02-10	39800	A	
USGS	04193500	2001-02-11	41300	A	
USGS	04193500	2001-02-12	31600	A	
USGS	04193500	2001-02-13	23800	A	
USGS	04193500	2001-02-14	18400	A	
USGS	04193500	2001-02-15	23300	A	
USGS	04193500	2001-02-16	26700	A	
USGS	04193500	2001-02-17	22900	A	
USGS	04193500	2001-02-18	16700	A	
USGS	04193500	2001-02-19	11300	A	
USGS	04193500	2001-02-20	8640	A	
USGS	04193500	2001-02-21	6920	A	
USGS	04193500	2001-02-22	5620	A	
USGS	04193500	2001-02-23	4840	A	
USGS	04193500	2001-02-24	3880	A	
USGS	04193500	2001-02-25	6820	A	
USGS	04193500	2001-02-26	13800	A	
USGS	04193500	2001-02-27	14900	A	
USGS	04193500	2001-02-28	11900	A	
USGS	04193500	2001-03-01	9420	A	
USGS	04193500	2001-03-02	7880	A	
USGS	04193500	2001-03-03	6840	A	
USGS	04193500	2001-03-04	6300	A	
USGS	04193500	2001-03-05	5680	A	
USGS	04193500	2001-03-06	4420	A	
USGS	04193500	2001-03-07	3330	A	
USGS	04193500	2001-03-08	2880	A	
USGS	04193500	2001-03-09	2530	A	
USGS	04193500	2001-03-10	2340	A	
USGS	04193500	2001-03-11	2230	A	
USGS	04193500	2001-03-12	2000	A	
USGS	04193500	2001-03-13	2500	A	
USGS	04193500	2001-03-14	2290	A	
USGS	04193500	2001-03-15	2010	A	
USGS	04193500	2001-03-16	2280	A	
USGS	04193500	2001-03-17	2600	A	
USGS	04193500	2001-03-18	2690	A	
USGS	04193500	2001-03-19	4040	A	
USGS	04193500	2001-03-20	5650	A	
USGS	04193500	2001-03-21	6340	A	
USGS	04193500	2001-03-22	5600	A	
USGS	04193500	2001-03-23	4640	A	
USGS	04193500	2001-03-24	4010	A	
USGS	04193500	2001-03-25	3500	A	
USGS	04193500	2001-03-26	3090	A	
USGS	04193500	2001-03-27	2300	A	
USGS	04193500	2001-03-28	1980	A	
USGS	04193500	2001-03-29	1890	A	
USGS	04193500	2001-03-30	1860	A	
USGS	04193500	2001-03-31	1850	A	
USGS	04193500	2001-04-01	1860	A	
USGS	04193500	2001-04-02	1700	A	
USGS	04193500	2001-04-03	1400	A	
USGS	04193500	2001-04-04	1180	A	
USGS	04193500	2001-04-05	1100	A	
USGS	04193500	2001-04-06	7840	A	
USGS	04193500	2001-04-07	25600	A	
USGS	04193500	2001-04-08	22200	A	
USGS	04193500	2001-04-09	14400	A	
USGS	04193500	2001-04-10	9400	A	
USGS	04193500	2001-04-11	6690	A	
USGS	04193500	2001-04-12	10500	A	
USGS	04193500	2001-04-13	14800	A	
USGS	04193500	2001-04-14	12900	A	
USGS	04193500	2001-04-15	8820	A	
USGS	04193500	2001-04-16	6400	A	
USGS	04193500	2001-04-17	8720	A	
USGS	04193500	2001-04-18	8790	A	
USGS	04193500	2001-04-19	6840	A	
USGS	04193500	2001-04-20	4940	A	
USGS	04193500	2001-04-21	7120	A	
USGS	04193500	2001-04-22	10500	A	
USGS	04193500	2001-04-23	11600	A	
USGS	04193500	2001-04-24	9760	A	
USGS	04193500	2001-04-25	6810	A	
USGS	04193500	2001-04-26	5650	A	
USGS	04193500	2001-04-27	4310	A	
USGS	04193500	2001-04-28	3770	A	
USGS	04193500	2001-04-29	3140	A	
USGS	04193500	2001-04-30	2590	A	
USGS	04193500	2001-05-01	2450	A	
USGS	04193500	2001-05-02	2090	A	
USGS	04193500	2001-05-03	1900	A	
USGS	04193500	2001-05-04	1820	A	
USGS	04193500	2001-05-05	1370	A	
USGS	04193500	2001-05-06	1470	A	
USGS	04193500	2001-05-07	1670	A	
USGS	04193500	2001-05-08	2130	A	
USGS	04193500	2001-05-09	2250	A	
USGS	04193500	2001-05-10	1850	A	
USGS	04193500	2001-05-11	1540	A	
USGS	04193500	2001-05-12	1460	A	
USGS	04193500	2001-05-13	1230	A	
USGS	04193500	2001-05-14	1290	A	
USGS	04193500	2001-05-15	2990	A	
USGS	04193500	2001-05-16	14700	A	
USGS	04193500	2001-05-17	17500	A	
USGS	04193500	2001-05-18	14900	A	
USGS	04193500	2001-05-19	18500	A	
USGS	04193500	2001-05-20	18500	A	
USGS	04193500	2001-05-21	15000	A	
USGS	04193500	2001-05-22	11500	A	
USGS	04193500	2001-05-23	8070	A	
USGS	04193500	2001-05-24	7270	A	
USGS	04193500	2001-05-25	8990	A	
USGS	04193500	2001-05-26	13600	A	
USGS	04193500	2001-05-27	20200	A	
USGS	04193500	2001-05-28	23900	A	
USGS	04193500	2001-05-29	19900	A	
USGS	04193500	2001-05-30	14600	A	
USGS	04193500	2001-05-31	9270	A	
USGS	04193500	2001-06-01	7830	A	
USGS	04193500	2001-06-02	6960	A	
USGS	04193500	2001-06-03	9730	A	
USGS	04193500	2001-06-04	8560	A	
USGS	04193500	2001-06-05	6710	A	
USGS	04193500	2001-06-06	11000	A	
USGS	04193500	2001-06-07	20700	A	
USGS	04193500	2001-06-08	17200	A	
USGS	04193500	2001-06-09	11500	A	
USGS	04193500	2001-06-10	8010	A	
USGS	04193500	2001-06-11	5840	A	
USGS	04193500	2001-06-12	3970	A	
USGS	04193500	2001-06-13	3600	A	
USGS	04193500	2001-06-14	3090	A	
USGS	04193500	2001-06-15	2550	A	
USGS	04193500	2001-06-16	2580	A	
USGS	04193500	2001-06-17	2070	A	
USGS	04193500	2001-06-18	1980	A	
USGS	04193500	2001-06-19	1830	A	
USGS	04193500	2001-06-20	1500	A	
USGS	04193500	2001-06-21	1820	A	
USGS	04193500	2001-06-22	2560	A	
USGS	04193500	2001-06-23	2270	A	
USGS	04193500	2001-06-24	2500	A	
USGS	04193500	2001-06-25	3010	A	
USGS	04193500	2001-06-26	2520	A	
USGS	04193500	2001-06-27	2040	A	
USGS	04193500	2001-06-28	1730	A	
USGS	04193500	2001-06-29	1400	A	
USGS	04193500	2001-06-30	1420	A	
USGS	04193500	2001-07-01	1150	A	
USGS	04193500	2001-07-02	971	A	
USGS	04193500	2001-07-03	968	A	
USGS	04193500	2001-07-04	953	A	
USGS	04193500	2001-07-05	834	A	
USGS	04193500	2001-07-06	841	A	
USGS	04193500	2001-07-07	878	A	
USGS	04193500	2001-07-08	909	A	
USGS	04193500	2001-07-09	755	A	
USGS	04193500	2001-07-10	832	A	
USGS	04193500	2001-07-11	749	A	
USGS	04193500	2001-07-12	702	A	
USGS	04193500	2001-07-13	677	A	
USGS	04193500	2001-07-14	540	A	
USGS	04193500	2001-07-15	487	A	
USGS	04193500	2001-07-16	552	A	
USGS	04193500	2001-07-17	538	A	
USGS	04193500	2001-07-18	330	A	
USGS	04193500	2001-07-19	298	A	
USGS	04193500	2001-07-20	305	A	
USGS	04193500	2001-07-21	498	A	
USGS	04193500	2001-07-22	583	A	
USGS	04193500	2001-07-23	517	A	
USGS	04193500	2001-07-24	954	A	
USGS	04193500	2001-07-25	1500	A	
USGS	04193500	2001-07-26	2280	A	
USGS	04193500	2001-07-27	1880	A	
USGS	04193500	2001-07-28	2020	A	
USGS	04193500	2001-07-29	1630	A	
USGS	04193500	2001-07-30	1250	A	
USGS	04193500	2001-07-31	796	A	
USGS	04193500	2001-08-01	904	A	
USGS	04193500	2001-08-02	882	A	
USGS	04193500	2001-08-03	624	A	
USGS	04193500	2001-08-04	759	A	
USGS	04193500	2001-08-05	608	A	
USGS	04193500	2001-08-06	438	A	
USGS	04193500	2001-08-07	434	A	
USGS	04193500	2001-08-08	351	A	
USGS	04193500	2001-08-09	271	A	
USGS	04193500	2001-08-10	351	A	
USGS	04193500	2001-08-11	213	A	
USGS	04193500	2001-08-12	127	A	
USGS	04193500	2001-08-13	292	A	
USGS	04193500	2001-08-14	283	A	
USGS	04193500	2001-08-15	208	A	
USGS	04193500	2001-08-16	279	A	
USGS	04193500	2001-08-17	546	A	
USGS	04193500	2001-08-18	227	A	
USGS	04193500	2001-08-19	221	A	
USGS	04193500	2001-08-20	204	A	
USGS	04193500	2001-08-21	107	A	
USGS	04193500	2001-08-22	334	A	
USGS	04193500	2001-08-23	975	A	
USGS	04193500	2001-08-24	2620	A	
USGS	04193500	2001-08-25	3810	A	
USGS	04193500	2001-08-26	2000	A	
USGS	04193500	2001-08-27	1260	A	
USGS	04193500	2001-08-28	1020	A	
USGS	04193500	2001-08-29	869	A	
USGS	04193500	2001-08-30	589	A	
USGS	04193500	2001-08-31	427	A	
USGS	04193500	2001-09-01	297	A	
USGS	04193500	2001-09-02	497	A	
USGS	04193500	2001-09-03	473	A	
USGS	04193500	2001-09-04	418	A	
USGS	04193500	2001-09-05	336	A	
USGS	04193500	2001-09-06	198	A	
USGS	04193500	2001-09-07	232	A	
