FID,ID,Name,Lat,Lon,Lat_90m,Lon_90m,Country,Area(km2),Derived_area(km2),Area_error(%),Regulation,Regulated_period,Reference,Q_period,Q_length,Hongren,Tim,Amin,Frank,Flow_info1,Flow_info2,Lake_info,Missing_data,Observation_percent_2000-2017,Objective_info,Calibration/Validation,Watershed_NO,Most_downstream,Q-t_check,SubId_version1,DowSubId_version1,SubId_version2,DowSubId_version2,SubId_version3,DowSubId_version3
10,02HL005,MOIRA RIVER NEAR DELORO,44.49972916,-77.61836243,44.5596008,-77.6035004,CA,297,307.8754,3.661750842,Natural,All, ,1965-2016,52,TRUE,FALSE,TRUE,TRUE, , ,ONTARIO, ,100,Obj1,C,GL117,FALSE,Normal,182,179,6615,3889,-9999,-9999
11,02GA010,NITH RIVER NEAR CANNING,43.18972015,-80.45503235,43.1888008,-80.4402008,CA,1030,972.9328,-5.540504854,Natural,All, ,1913-2016,82,TRUE,FALSE,TRUE,TRUE, , ,ERIE, ,100,Obj1,C,GL139,FALSE,Normal,50,54,6483,5005,-9999,-9999
12,02GA018,NITH RIVER AT NEW HAMBURG,43.37722015,-80.7108078,43.3712997,-80.6942978,CA,544,542.6601,-0.246305147,Natural,All, ,1950-2016,66,TRUE,FALSE,FALSE,FALSE, , ,ERIE, ,100,Obj1,C,GL139,FALSE,Normal,51,50,6484,4985,-9999,-9999
13,02GA038,NITH RIVER ABOVE NITHBURG,43.48389053,-80.83499908,43.4746017,-80.8243027,CA,326,322.0191,-1.221134969,Natural,All, ,1972-2016,45,TRUE,FALSE,FALSE,FALSE, , ,ERIE, ,100,Obj1,C,GL139,FALSE,Normal,52,51,6485,6484,-9999,-9999
14,02DC012,STURGEON RIVER AT UPPER GOOSE FALLS,46.97024918,-80.45877838,46.9588013,-80.4442978,CA,1200,1280.9229,6.743575,Natural,All, ,1986-2016,31,TRUE,FALSE,TRUE,FALSE, , ,HURON, ,100,Obj1,C,GL152,FALSE,Normal,95,96,6528,2023,-9999,-9999
15,02EA005,NORTH MAGNETAWAN RIVER NEAR BURKS FALLS,45.66947174,-79.37918854,45.6571007,-79.3909988,CA,329,325.2298,-1.145957447,Natural,All, ,1915-2017,103,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL121,FALSE,Normal,97,98,6530,3529,-9999,-9999
16,02EB014,OXTONGUE RIVER NEAR DWIGHT,45.31196976,-78.98938751,45.3146019,-79.0059967,CA,605,570.9926,-5.621057851,Natural,2017-End, ,1981-2016,36,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL137,FALSE,Normal,101,100,6534,3565,-9999,-9999
17,02EC002,BLACK RIVER NEAR WASHAGO,44.71366882,-79.28160858,44.7178993,-79.2985001,CA,1510,1451.4156,-3.879761589,Natural,All, ,1915-2016,102,TRUE,FALSE,FALSE,TRUE, , ,HURON, ,100,Obj1,C,GL142,FALSE,Normal,102,103,6535,3644,-9999,-9999
18,02EC018,PEFFERLAW BROOK NEAR UDORA,44.26752853,-79.1946106,44.2821007,-79.2009964,CA,347,348.36504,0.393383285,Natural,All, ,1987-2016,30,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL142,FALSE,Normal,105,103,6538,3709,-9999,-9999
19,02ED003,NOTTAWASAGA RIVER NEAR BAXTER,44.24980927,-79.82141876,44.2653999,-79.8192978,CA,1230,1294.64745,5.255890244,Natural,All, ,1947-2016,70,FALSE,TRUE,TRUE,TRUE, , ,HURON, ,100,Obj1,C,GL118,FALSE,Normal,107,110,6540,3491,-9999,-9999
20,02ED015,MAD RIVER AT AVENING,44.3073616,-80.07202911,44.3246002,-80.1176987,CA,244,255.37495,4.661864754,Natural,All, ,1988-2016,29,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL118,FALSE,Normal,108,110,6541,3473,-9999,-9999
21,02ED029,INNISFIL CREEK NEAR ALLISTON,44.13122177,-79.78096771,44.1036987,-79.8051987,CA,479,457.13704,-4.564292276,Natural,All, ,2000-2016,17,TRUE,FALSE,FALSE,FALSE, , ,HURON,2010-03-28 - 2010-03-28; 2016-03-25 - 2016-06-01; 2017-11-08 - 2017-12-31,98.11406844,Obj1,C,GL118,FALSE,Normal,111,107,6544,3512,-9999,-9999
22,02ED101,NOTTAWASAGA RIVER NEAR ALLISTON,44.11058044,-79.89028168,44.0996017,-79.8759995,CA,328,337.25641,2.82207622,Natural,All, ,1967-2016,32,TRUE,FALSE,FALSE,FALSE, , ,HURON,2011-11-02 - 2011-11-02; 2012-10-30 - 2012-12-31,99.02661597,Obj1,C,GL118,FALSE,Normal,113,111,6546,3508,-9999,-9999
23,02ED102,Boyne River at Earl Rowe Park,44.15250015,-79.89663696,44.153801,-79.8802032,CA,216,239.271,10.77361111,Natural,All, ,1967-2016,40,FALSE,TRUE,FALSE,FALSE, , ,HURON,2012-10-30 - 2012-12-31,99.0418251,Obj1,C,GL118,FALSE,Normal,114,107,6547,3507,-9999,-9999
24,02FE009,SOUTH MAITLAND RIVER AT SUMMERHILL,43.6843605,-81.54116821,43.6987,-81.5485001,CA,371,388.3107,4.665956873,Natural,All, ,1967-2016,50,FALSE,TRUE,FALSE,TRUE, , ,HURON, ,100,Obj1,C,GL116,FALSE,Normal,122,125,6555,4836,-9999,-9999
69,02GA047,SPEED RIVER AT CAMBRIDGE,43.42185974,-80.33274841,43.4121017,-80.3460007,CA,762,782.286,2.662204724,Natural,All, ,2002-2017,16,TRUE,FALSE,FALSE,FALSE, , ,ERIE,2000-01-01 - 2002-09-24,84.82129278,Obj1,V,GL139,FALSE,Normal,53,54,6486,4982,-9999,-9999
70,02GC010,BIG OTTER CREEK AT TILLSONBURG,42.85731125,-80.72357941,42.8437996,-80.7317963,CA,354,393.2007,11.07364407,Natural,All, ,1960-2017,55,TRUE,FALSE,FALSE,FALSE, , ,ERIE,2000-01-01 - 2002-03-31,87.51330798,Obj1,V,GL059,FALSE,Normal,58,59,6491,5051,-9999,-9999
71,02EA018,MAGNETAWAN RIVER NEAR EMSDALE,45.55670166,-79.28797913,45.5545998,-79.3068008,CA,403,396.801,-1.5382134,Natural,All, ,2002-2016,15,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2002-10-14,84.51711027,Obj1,V,GL121,FALSE,Normal,99,98,6532,3527,-9999,-9999
72,02EC011,BEAVER RIVER NEAR BEAVERTON,44.39707947,-79.0708313,44.4079018,-79.0818024,CA,291,300.4229,3.238109966,Natural,All, ,1966-2016,39,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2006-08-15,63.20912548,Obj1,V,GL142,FALSE,Normal,104,103,6537,3696,-9999,-9999
73,02EC019,BLACK RIVER NEAR VANKOUGHNET,44.99256134,-79.04956055,44.8879013,-79.0526962,CA,354,385.246,8.826553672,Natural,2017-End, ,2006-2016,11,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2005-12-31,66.66159696,Obj1,V,GL142,FALSE,Normal,106,102,6539,3608,-9999,-9999
74,02ED032,WILLOW CREEK NEAR MINESING,44.44250107,-79.79949951,44.4603996,-79.8026962,CA,231,228.24975,-1.190584416,Natural,1900-End, ,2006-2016,11,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2006-03-31,65.29277567,Obj1,V,GL118,FALSE,Normal,112,110,6545,3456,-9999,-9999
75,02FA004,Sauble River at Allenford,44.53553009,-81.1776886,44.5270996,-81.2009964,CA,312,348.509,11.70160256,Natural,All, ,1987-2017,24,FALSE,TRUE,FALSE,TRUE, , ,HURON,2000-01-01 - 2002-03-31,87.51330798,Obj1,V,GL076,FALSE,Normal,116,115,6549,3465,-9999,-9999
76,02FC016,SAUGEEN RIVER ABOVE DURHAM,44.18542099,-80.78746796,44.1804008,-80.8026962,CA,329,348.244,5.849240122,Natural,All, ,1976-2017,36,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2013-08-25,70.82889734,Obj1,V,GL131,FALSE,Normal,120,119,6553,3488,-9999,-9999
77,02FE008,Middle Maitland River near Belgrave,43.8128891,-81.3068924,43.8303986,-81.3160019,CA,644.8200073,672.729117,4.328201573,Natural,All, ,1967-2016,44,FALSE,TRUE,FALSE,FALSE, , ,HURON,2000-01-01 - 2005-03-31,70.84410646,Obj1,V,GL116,FALSE,Normal,121,125,6554,4959,-9999,-9999
78,02FE010,BOYLE DRAIN NEAR ATWOOD,43.6763382,-81.07485199,43.6879005,-81.0876999,CA,205.0200043,208.736,1.812503962,Natural,All, ,1967-2017,29,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2002-08-19,85.36882129,Obj1,V,GL116,FALSE,Normal,123,124,6556,4972,-9999,-9999
79,02FE013,MIDDLE MAITLAND RIVER ABOVE ETHEL,43.71839142,-81.12464142,43.7154007,-81.1352005,CA,416,402.023117,-3.359827644,Natural,All, ,1983-2017,29,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2004-12-31,72.21292776,Obj1,V,GL116,FALSE,Normal,124,121,6557,4961,-9999,-9999
80,02HC025,HUMBER RIVER AT ELDER MILLS,43.81130981,-79.62757874,43.8021011,-79.6135025,CA,296,291.3242,-1.579662162,Natural,All, ,1962-2016,52,TRUE,FALSE,FALSE,FALSE, , ,ONTARIO,2003-09-23 - 2007-06-25,79.13307985,Obj1,V,GL069,FALSE,Normal,171,169,6604,4940,-9999,-9999
81,02HL008,CLARE RIVER NEAR BOGART,44.49681091,-77.22749329,44.4995995,-77.2443008,CA,313,314.644359,0.525354313,Natural,1900-End, ,2006-2016,11,TRUE,FALSE,FALSE,FALSE, , ,ONTARIO,2000-01-01 - 2006-03-31,65.29277567,Obj1,V,GL117,FALSE,Normal,183,179,6616,3903,-9999,-9999
82,02HM010,SALMON RIVER AT TAMWORTH,44.48622894,-76.99295807,44.8112984,-76.9276962,CA,532,483.7544,-9.068721805,Natural,All, ,2002-2016,15,TRUE,FALSE,FALSE,FALSE, , ,ONTARIO,2000-01-01 - 2002-06-24,86.22053232,Obj1,V,GL075,FALSE,Normal,241,184,6674,3856,-9999,-9999
83,02JB013,KINOJEVIS (RIVIERE) A 0.3 KM EN AMONT DU PONT-ROUTE A CLERICY,48.36667,-78.8533,48.3620987,-78.8693008,CA,2590,2530.758903,-2.287301042,Natural,All, ,1965-2013,49,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2002-01-15 - 2002-01-15; 2002-02-15 - 2002-02-16; 2002-03-03 - 2002-03-03; 2002-04-27 - 2002-04-27; 2002-06-09 - 2002-06-10; 2002-07-06 - 2002-07-07; 2002-09-24 - 2002-09-24; 2003-01-17 - 2003-01-17; 2003-03-16 - 2003-03-16; 2003-03-18 - 2003-03-19; 2003,76.19771863,Obj1,V,GL156,FALSE,Normal,243,2,6676,899,-9999,-9999
84,02JE027,AMABLE DU FOND RIVER AT KIOSK,46.0914,-78.8851,46.0970993,-78.9067993,CA,706,705.92017,-0.011307365,Natural,1900-End, ,2006-2017,12,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2000-01-01 - 2005-12-31,66.66159696,Obj1,V,GL156,FALSE,Normal,248,5,6681,2354,-9999,-9999
85,02KC018,INDIAN RIVER AT PEMBROKE,45.81828,-77.1251,45.8186989,-77.1167984,CA,465,497.2716,6.940129032,Natural,1900-End, ,2007-2016,10,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2000-01-01 - 2007-11-05,56.41064639,Obj1,V,GL156,FALSE,Normal,249,5,6682,2611,-9999,-9999
86,02KD002,YORK RIVER NEAR BANCROFT,45.05214,-77.846,45.0513,-77.838501,CA,844,845.5812,0.187345972,Natural,1900-End, ,1915-2017,91,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2000-01-01 - 2006-08-03,63.39163498,Obj1,V,GL156,FALSE,Normal,253,14,6686,3828,-9999,-9999
87,02LB007,SOUTH NATION RIVER AT SPENCERVILLE,44.84225,-75.5444,44.9095993,-75.5177002,CA,246,277.3475,12.74288618,Natural,All, ,1948-2017,70,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2006-09-27 - 2007-05-10; 2007-05-12 - 2007-08-27; 2012-08-01 - 2012-12-10,92.91254753,Obj1,V,GL129,FALSE,Normal,261,258,6694,4060,-9999,-9999
121,04040500,STURGEON RIVER NEAR SIDNAW MI,46.58410589,-88.57596973,46.5820999,-88.5942993,US,419.8266,476.5009,13.4994543, , ,Ref,1989-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,mostly undeveloped; NEoA,SUPERIOR, ,100,Obj1,C,GL073,FALSE,Normal,237,238,6670,1447,-9999,-9999
122,04066500,PIKE RIVER AT AMBERG WI,45.4999654,-88.00011496,45.4962997,-87.9842987,US,660.1094,643.54928,-2.508693256, , ,Ref,2000-06-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,mostly undeveloped; NEoA,MICHIGAN,2000-01-01 - 2000-05-31,97.68821293,Obj1,C,GL149,FALSE,Normal,135,136,6568,3132,-9999,-9999
123,04067958,Peshtigo River near Wabeno WI,45.38774406,-88.3051099,45.3736992,-88.3068008,US,1157.73,1217.19826,5.136625984, , ,Ref,1999-05-09 to 2017-06-14,19,FALSE,TRUE,TRUE,TRUE, ,forest; lt develop; NEoA,MICHIGAN, ,100,Obj1,C,GL120,FALSE,Normal,137,138,6570,2993,-9999,-9999
124,04074950,WOLF RIVER AT LANGLADE WI,45.18997026,-88.73343978,45.1721001,-88.735199,US,1205.531,1206.2148,0.056721893, , ,Ref,1986-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,many natural lakes in system,MICHIGAN, ,100,Obj1,C,GL153,FALSE,Normal,141,142,6574,2998,-9999,-9999
125,04124000,Manistee River near Sherman MI,44.43639239,-85.6986792,44.4304008,-85.7077026,US,2219.63,2296.66856,3.470783869, , ,Ref,1904-04-10 to 2017-03-02,98,FALSE,TRUE,TRUE,TRUE, ,small town; drilling in hw; but NEoA,MICHIGAN, ,100,Obj1,C,GL128,FALSE,Normal,161,163,6594,3227,-9999,-9999
126,04125460,Pine River at High School Bridge nr Hoxeyville MI,44.19334009,-85.7697863,44.2020988,-85.785202,US,634.55,645.1592,1.671924986, , ,Ref,1953-03-24 to 2017-04-06,51,FALSE,TRUE,FALSE,TRUE, ,NEoA,MICHIGAN, ,100,Obj1,C,GL128,FALSE,Normal,162,163,6595,3269,-9999,-9999
127,04221000,GENESEE RIVER AT WELLSVILLE NY,42.12229032,-77.95722459,42.1329002,-77.9667969,US,750.879,761.86129,1.462591176, , ,Ref,1986-07-25 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,sml. Towns; lt ag,ONTARIO, ,100,Obj1,C,GL144,FALSE,Normal,187,189,6620,5871,-9999,-9999
128,04224775,CANASERAGA CREEK ABOVE DANSVILLE NY,42.5356226,-77.70416132,42.5404015,-77.7026978,US,231.8445,247.806,6.88457134, , ,Ref,1986-04-16 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,small town; mainstem pond in hw; NEoA,ONTARIO, ,100,Obj1,C,GL144,FALSE,Normal,188,189,6621,5224,-9999,-9999
129,04185000,Tiffin River at Stryker OH,41.50449567,-84.4296719,41.4920998,-84.441803,US,1061.9,988.1165,-6.948253131, , ,Ref,1913-03-01 to 2017-04-08,86,FALSE,TRUE,TRUE,TRUE,Small diversion upstream from gage for municipal supply,upstrm small towns & channelization; some reservoirs on tribs,ERIE, ,100,Obj1,C,GL154,FALSE,Normal,66,67,6499,5655,-9999,-9999
130,04196800,Tymochtee Creek at Crawford OH,40.92283322,-83.34881158,40.9286995,-83.3302002,US,608.067,663.147,9.058212335, , ,Ref,1990-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,remnent riparian; channelized hw,ERIE, ,100,Obj1,C,GL126,FALSE,Normal,69,71,6502,5764,-9999,-9999
131,04197100,Honey Creek at Melmore OH,41.022278,-83.1096382,41.0679016,-83.1784973,US,385.91,390.279,1.132129253, , ,Ref,1961-04-25 to 2017-07-13,57,FALSE,TRUE,FALSE,FALSE, ,small pond on 1 trib; NEoA,ERIE, ,100,Obj1,C,GL126,FALSE,Normal,70,71,6503,5729,-9999,-9999
132,04136000,Au Sable River near Red Oak MI,44.6769593,-84.2925146,44.6804008,-84.276001,US,2869.72,2937.340882,2.356358181, , ,Ref,1909-04-13 to 2017-04-16,28,FALSE,TRUE,TRUE,TRUE, ,forest; lt develop; NEoA,HURON, ,100,Obj1,C,GL135,FALSE,Normal,128,129,6561,3354,-9999,-9999
52,02LA007,JOCK RIVER NEAR RICHMOND,45.24942,-75.7906,45.2621002,-75.7176971,CA,526,456.1827,-13.27325095,Natural,All, ,1969-2016,48,FALSE,FALSE,TRUE,FALSE, , ,OTTAWA, ,100,Obj1-2,C,GL051,TRUE,Normal,256,18,6689,4002,-9999,-9999
53,02GC002,KETTLE CREEK AT ST. THOMAS,42.77769089,-81.21399689,42.7645988,-81.2017975,CA,331,334.4978,1.05673716,Natural,All, ,1945-2017,65,FALSE,TRUE,FALSE,TRUE, , ,ERIE, ,100,Obj1-2,C,GL032,TRUE,Normal,56,24,6489,6307,-9999,-9999
54,02GG003,Sydenham River at Florence,42.65061188,-82.00839233,42.6371002,-82.0202026,CA,1150,1155.47265,0.475882609,Natural,All, ,1984-2017,34,FALSE,TRUE,TRUE,TRUE, , ,STCLAIR, ,100,Obj1-2,C,GL085,TRUE,Normal,200,26,6633,4901,-9999,-9999
55,02GG009,BEAR CREEK BELOW BRIGDEN,42.81203079,-82.29842377,42.7971001,-82.3068008,CA,536,520.45725,-2.899766791,Natural,All, ,1981-2017,37,TRUE,FALSE,TRUE,FALSE, , ,STCLAIR, ,100,Obj1-2,C,GL052,TRUE,Normal,202,26,6635,4888,-9999,-9999
56,02CB003,AUBINADONG RIVER ABOVE SESABIC CREEK,46.96841812,-83.41686249,46.9511986,-83.4201965,CA,1450,1480.690251,2.116569062,Natural,All, ,1980-2016,37,TRUE,FALSE,TRUE,FALSE, , ,HURON, ,100,Obj1-2,C,GL098,TRUE,Normal,87,41,6520,1715,-9999,-9999
57,02ED024,North River at the Falls,44.76766968,-79.57827759,44.7680016,-79.5827026,CA,244,251.331,3.004508197,Natural,All, ,1988-2016,29,FALSE,TRUE,FALSE,TRUE, , ,HURON, ,100,Obj1-2,C,GL017,TRUE,Normal,109,23,6542,3655,-9999,-9999
58,02CF007,WHITSON RIVER AT CHELMSFORD,46.58335876,-81.19911194,46.5728989,-81.2101974,CA,277,243.715,-12.01624549,Natural,All, ,1960-2016,57,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1-2,C,GL021,TRUE,Normal,91,42,6524,2079,-9999,-9999
59,02HD012,Ganaraska River above Dale,43.99094009,-78.32819366,43.9903984,-78.3093033,CA,242,243.3347,0.551528926,Natural,All, ,1976-2016,41,FALSE,TRUE,FALSE,TRUE, , ,ONTARIO, ,100,Obj1-2,C,GL016,TRUE,Normal,174,22,6607,6150,-9999,-9999
60,02HC049,Duffins Creek at Ajax,43.8488884,-79.05610657,43.8378983,-79.0401993,CA,257,284.2864,10.61727626,Natural,All, ,1989-2016,28,FALSE,TRUE,TRUE,TRUE, , ,ONTARIO, ,100,Obj1-2,C,GL019,TRUE,Normal,173,22,6606,6158,-9999,-9999
61,02HC030,ETOBICOKE CREEK BELOW QUEEN ELIZABETH HIGHWAY,43.60174942,-79.55632782,43.5904007,-79.5467987,CA,204.9900055,191.59,-6.536906747,Natural,All, ,1966-2016,51,TRUE,FALSE,FALSE,TRUE, , ,ONTARIO, ,100,Obj1-2,C,GL002,TRUE,Normal,172,22,6605,6142,-9999,-9999
62,02HA006,TWENTY MILE CREEK AT BALLS FALLS,43.13346863,-79.38324738,43.1478996,-79.3727036,CA,292,320.019,9.595547945,Natural,All, ,1957-2016,60,FALSE,TRUE,FALSE,TRUE, , ,ONTARIO,2007-07-26 - 2007-09-12; 2007-09-21 - 2007-10-05; 2007-10-22 - 2007-10-22; 2012-07-13 - 2012-07-22,98.85931559,Obj1-2,C,GL024,TRUE,Normal,166,22,6599,6147,-9999,-9999
63,02BF001,BATCHAWANA RIVER NEAR BATCHAWANA,47.00352859,-84.51555634,46.9920998,-84.526001,CA,1230,1225.32723,-0.3799,Natural,All, ,1967-2016,50,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR, ,100,Obj1-2,C,GL090,TRUE,Normal,225,20,6658,6039,-9999,-9999
64,02AB021,CURRENT RIVER AT STEPSTONE,48.56243896,-89.24066925,48.5643997,-89.2393036,CA,407,404.4097,-0.636437346,Natural,All, ,1989-2016,28,TRUE,FALSE,FALSE,FALSE, , ,SUPERIOR,2006-06-11 - 2006-12-31; 2007-03-09 - 2007-04-17; 2007-04-19 - 2007-05-02,96.07604563,Obj1-2,V,GL043,TRUE,Normal,210,20,6643,446,-9999,-9999
65,02AB017,WHITEFISH RIVER AT NOLALU,48.29211044,-89.80986023,48.2871017,-89.7927017,CA,226,228.9725,1.315265487,Natural,All, ,1980-2016,37,FALSE,TRUE,FALSE,TRUE, , ,SUPERIOR,2004-03-26 - 2004-04-12,99.72623574,Obj1-2,C,GL012,TRUE,Normal,209,28,6642,478,-9999,-9999
66,02AC001,WOLF RIVER AT HIGHWAY NO. 17,48.82168961,-88.53460693,48.8196983,-88.4904022,CA,726,634.44888,-12.61034711,Natural,All, ,1971-2016,45,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR,2003-03-05 - 2003-04-22; 2006-09-10 - 2006-11-29; 2007-02-11 - 2007-04-11; 2012-09-07 - 2012-09-09,97.06463878,Obj1-2,C,GL065,TRUE,Normal,211,20,6644,5923,-9999,-9999
67,02BB003,PIC RIVER NEAR MARATHON,48.77407837,-86.29660797,48.7561989,-86.2927017,CA,4220,4213.962108,-0.143078009,Natural,All, ,1970-2016,47,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR, ,100,Obj1-2,C,GL133,TRUE,Normal,218,29,6651,548,-9999,-9999
68,02AC002,BLACK STURGEON RIVER AT HIGHWAY NO. 17,48.90422058,-88.37686157,48.8970985,-88.360199,CA,2980,2732.99262,-8.288838255,Natural,2015-End, ,1971-2016,46,FALSE,TRUE,FALSE,TRUE, , ,SUPERIOR,2002-08-26 - 2002-12-31; 2003-03-16 - 2003-04-22,97.47528517,Obj1-2,C,GL124,TRUE,Normal,212,20,6645,5921,-9999,-9999
110,02GB007,FAIRCHILD CREEK NEAR BRANTFORD,43.14738846,-80.15460968,43.1338005,-80.1452026,CA,389,388.5,-0.128534704,Natural,All, ,1964-2015,52,FALSE,TRUE,FALSE,TRUE, , ,ERIE,2016-01-01 - 2017-12-31,88.88212928,Obj1-2,V,GL040,TRUE,Normal,55,46,6488,5016,-9999,-9999
111,02CF011,VERMILION RIVER NEAR VAL CARON,46.68544006,-81.00924683,46.6896019,-81.0268021,CA,680,700.5028,3.015117647,Natural,All, ,1970-2016,37,TRUE,FALSE,FALSE,FALSE, , ,HURON,2000-01-01 - 2011-01-01,68.62357414,Obj1-2,V,GL062,TRUE,Normal,93,42,6526,2040,-9999,-9999
112,02HB029,CREDIT RIVER AT STREETSVILLE,43.58227921,-79.70874786,43.5721016,-79.6934967,CA,774,791.6465,2.279909561,Natural,1900-End, ,2006-2017,12,TRUE,FALSE,FALSE,FALSE, , ,ONTARIO,2000-01-01 - 2006-03-31,65.29277567,Obj1-2,V,GL067,TRUE,Normal,168,22,6601,6143,-9999,-9999
