FID,ID,Name,Lat,Lon,lat_snap_90m,lon_snap_90m,Country,Area(km2),Derived_area(km2),Area_error,Regulation,Regulated_period,Reference,Q_period,Q_length,Hongren,Tim,Amin,Frank,Flow_info1,Flow_info2,Lake_info,Missing_data,Observation_percent_2000-2017,Objective_info,Calibration/Validation,Watershed_NO,Most_downstream,Q-t_check,Annual_runoff(mm),SubId_version1&2,DowSubId_version1&2,SubId_version3,DowSubId_version3
22,02ED101,NOTTAWASAGA RIVER NEAR ALLISTON,44.11058044,-79.89028168,44.0996017,-79.8759995,CA,328,337.2564116,2.822076697,Natural,All, ,1967-2016,32,TRUE,FALSE,FALSE,FALSE, , ,HURON,2011-11-02 - 2011-11-02; 2012-10-30 - 2012-12-31,99.02661597,Obj1,C,GL118,FALSE,Normal,315,6546,3508,7070,2495
23,02ED102,Boyne River at Earl Rowe Park,44.15250015,-79.89663696,44.153801,-79.8802032,CA,216,239.270998,10.7736102,Natural,All, ,1967-2016,40,FALSE,TRUE,FALSE,FALSE, , ,HURON,2012-10-30 - 2012-12-31,99.0418251,Obj1,C,GL118,FALSE,Normal,313,6547,3507,7071,2494
24,02FE009,SOUTH MAITLAND RIVER AT SUMMERHILL,43.6843605,-81.54116821,43.6987,-81.5485001,CA,371,388.3106901,4.665954208,Natural,All, ,1967-2016,50,FALSE,TRUE,FALSE,TRUE, , ,HURON, ,100,Obj1,C,GL116,FALSE,Normal,559,6555,4836,7079,3522
52,02LA007,JOCK RIVER NEAR RICHMOND,45.24942,-75.7906,45.2621002,-75.7176971,CA,526,456.1828525,-13.27322196,Natural,All, ,1969-2016,48,FALSE,FALSE,TRUE,FALSE, , ,OTTAWA, ,100,Obj1-2,C,GL051,TRUE,Normal,400,6689,4002,7212,2783
53,02GC002,KETTLE CREEK AT ST. THOMAS,42.77769089,-81.21399689,42.7645988,-81.2017975,CA,331,334.4976207,1.056683002,Natural,All, ,1945-2017,65,FALSE,TRUE,FALSE,TRUE, , ,ERIE, ,100,Obj1-2,C,GL032,TRUE,Normal,355,6489,6307,7013,5839
54,02GG003,Sydenham River at Florence,42.65061188,-82.00839233,42.6371002,-82.0202026,CA,1150,1155.471811,0.475809692,Natural,All, ,1984-2017,34,FALSE,TRUE,TRUE,TRUE, , ,STCLAIR, ,100,Obj1-2,C,GL085,TRUE,Normal,336,6633,4901,7157,3587
55,02GG009,BEAR CREEK BELOW BRIGDEN,42.81203079,-82.29842377,42.7971001,-82.3068008,CA,536,520.4582477,-2.89958065,Natural,All, ,1981-2017,37,TRUE,FALSE,TRUE,FALSE, , ,STCLAIR, ,100,Obj1-2,C,GL052,TRUE,Normal,334,6635,4888,7159,3574
56,02CB003,AUBINADONG RIVER ABOVE SESABIC CREEK,46.96841812,-83.41686249,46.9511986,-83.4201965,CA,1450,1480.689479,2.11651577,Natural,All, ,1980-2016,37,TRUE,FALSE,TRUE,FALSE, , ,HURON, ,100,Obj1-2,C,GL098,TRUE,Normal,362,6520,1715,7044,1258
57,02ED024,North River at the Falls,44.76766968,-79.57827759,44.7680016,-79.5827026,CA,244,248.985015,2.043038948,Natural,All, ,1988-2016,29,FALSE,TRUE,FALSE,TRUE, , ,HURON, ,100,Obj1-2,C,GL017,TRUE,Normal,459,6542,3655,7066,2574
58,02CF007,WHITSON RIVER AT CHELMSFORD,46.58335876,-81.19911194,46.5728989,-81.2101974,CA,277,243.7149307,-12.01627051,Natural,All, ,1960-2016,57,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1-2,C,GL021,TRUE,Normal,347,6524,2079,7048,1496
59,02HD012,Ganaraska River above Dale,43.99094009,-78.32819366,43.9903984,-78.3093033,CA,242,243.3347358,0.55154372,Natural,All, ,1976-2016,41,FALSE,TRUE,FALSE,TRUE, , ,ONTARIO, ,100,Obj1-2,C,GL016,TRUE,Normal,435,6607,6150,7131,5685
60,02HC049,Duffins Creek at Ajax,43.8488884,-79.05610657,43.8378983,-79.0401993,CA,257,284.2862809,10.61722991,Natural,All, ,1989-2016,28,FALSE,TRUE,TRUE,TRUE, , ,ONTARIO, ,100,Obj1-2,C,GL019,TRUE,Normal,354,6606,6158,7130,5693
61,02HC030,ETOBICOKE CREEK BELOW QUEEN ELIZABETH HIGHWAY,43.60174942,-79.55632782,43.5904007,-79.5467987,CA,204.9900055,191.5899538,-6.536929273,Natural,All, ,1966-2016,51,TRUE,FALSE,FALSE,TRUE, , ,ONTARIO, ,100,Obj1-2,C,GL002,TRUE,Normal,427,6605,6142,7129,5677
62,02HA006,TWENTY MILE CREEK AT BALLS FALLS,43.13346863,-79.38324738,43.1478996,-79.3727036,CA,292,320.0185733,9.595401829,Natural,All, ,1957-2016,60,FALSE,TRUE,FALSE,TRUE, , ,ONTARIO,2007-07-26 - 2007-09-12; 2007-09-21 - 2007-10-05; 2007-10-22 - 2007-10-22; 2012-07-13 - 2012-07-22,98.85931559,Obj1-2,C,GL024,TRUE,Normal,353,6599,6147,7123,5682
63,02BF001,BATCHAWANA RIVER NEAR BATCHAWANA,47.00352859,-84.51555634,46.9920998,-84.526001,CA,1230,1225.326791,-0.379935707,Natural,All, ,1967-2016,50,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR, ,100,Obj1-2,C,GL090,TRUE,Normal,541,6658,6039,7182,5576
65,02AB017,WHITEFISH RIVER AT NOLALU,48.29211044,-89.80986023,48.2871017,-89.7927017,CA,226,228.9726154,1.315316551,Natural,All, ,1980-2016,37,FALSE,TRUE,FALSE,TRUE, , ,SUPERIOR,2004-03-26 - 2004-04-12,99.72623574,Obj1-2,C,GL012,TRUE,Normal,295,6642,478,7166,336
66,02AC001,WOLF RIVER AT HIGHWAY NO. 17,48.82168961,-88.53460693,48.8196983,-88.4904022,CA,726,634.1089738,-12.65716614,Natural,All, ,1971-2016,45,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR,2003-03-05 - 2003-04-22; 2006-09-10 - 2006-11-29; 2007-02-11 - 2007-04-11; 2012-09-07 - 2012-09-09,97.06463878,Obj1-2,C,GL065,TRUE,Normal,305,6644,5923,7168,5460
67,02BB003,PIC RIVER NEAR MARATHON,48.77407837,-86.29660797,48.7561989,-86.2927017,CA,4220,4213.962482,-0.14306915,Natural,All, ,1970-2016,47,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR, ,100,Obj1-2,C,GL133,TRUE,Normal,365,6651,548,7175,394
68,02AC002,BLACK STURGEON RIVER AT HIGHWAY NO. 17,48.90422058,-88.37686157,48.8970985,-88.360199,CA,2980,2732.992324,-8.288848193,Natural,2015-End, ,1971-2016,46,FALSE,TRUE,FALSE,TRUE, , ,SUPERIOR,2002-08-26 - 2002-12-31; 2003-03-16 - 2003-04-22,97.47528517,Obj1-2,C,GL124,TRUE,Normal,268,6645,5921,7169,5458
116,02BA003,LITTLE PIC RIVER NEAR COLDWELL,48.84910965,-86.60722351,48.8428993,-86.623497,CA,1320,1378.256862,4.413398654,Natural,All, ,1972-2016,45,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR,2000-01-01 - 2012-12-31,99.98479087,Obj1-2,C,GL093,TRUE,Normal,364,6649,5946,7173,5483
121,04040500,STURGEON RIVER NEAR SIDNAW MI,46.58410589,-88.57596973,46.5820999,-88.5942993,US,419.8266,476.5011193,13.49950654, , ,Ref,1989-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,mostly undeveloped; NEoA,SUPERIOR, ,100,Obj1,C,GL073,FALSE,Normal,392,6670,1447,7194,1017
122,04066500,PIKE RIVER AT AMBERG WI,45.4999654,-88.00011496,45.4962997,-87.9842987,US,660.1094,643.5492821,-2.508692944, , ,Ref,2000-06-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,mostly undeveloped; NEoA,MICHIGAN,2000-01-01 - 2000-05-31,97.68821293,Obj1,C,GL149,FALSE,Normal,256,6568,3132,7092,2178
123,04067958,Peshtigo River near Wabeno WI,45.38774406,-88.3051099,45.3736992,-88.3068008,US,1157.73,1217.198794,5.13667208, , ,Ref,1999-05-09 to 2017-06-14,19,FALSE,TRUE,TRUE,TRUE, ,forest; lt develop; NEoA,MICHIGAN, ,100,Obj1,C,GL120,FALSE,Normal,277,6570,2993,7094,2060
124,04074950,WOLF RIVER AT LANGLADE WI,45.18997026,-88.73343978,45.1721001,-88.735199,US,1205.531,1206.215628,0.056790553, , ,Ref,1986-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,many natural lakes in system,MICHIGAN, ,100,Obj1,C,GL153,FALSE,Normal,290,6574,2998,7098,2065
125,04124000,Manistee River near Sherman MI,44.43639239,-85.6986792,44.4304008,-85.7077026,US,2219.63,2296.67388,3.47102353, , ,Ref,1904-04-10 to 2017-03-02,98,FALSE,TRUE,TRUE,TRUE, ,small town; drilling in hw; but NEoA,MICHIGAN, ,100,Obj1,C,GL128,FALSE,Normal,434,6594,3227,7118,6849
126,04125460,Pine River at High School Bridge nr Hoxeyville MI,44.19334009,-85.7697863,44.2020988,-85.785202,US,634.55,645.1591259,1.671913314, , ,Ref,1953-03-24 to 2017-04-06,51,FALSE,TRUE,FALSE,TRUE, ,NEoA,MICHIGAN, ,100,Obj1,C,GL128,FALSE,Normal,415,6595,3269,7119,2299
127,04221000,GENESEE RIVER AT WELLSVILLE NY,42.12229032,-77.95722459,42.1329002,-77.9667969,US,750.879,761.8599104,1.462407449, , ,Ref,1986-07-25 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,sml. Towns; lt ag,ONTARIO, ,100,Obj1,C,GL144,FALSE,Normal,479,6620,5871,7144,4503
128,04224775,CANASERAGA CREEK ABOVE DANSVILLE NY,42.5356226,-77.70416132,42.5404015,-77.7026978,US,231.8445,247.8063297,6.884713553, , ,Ref,1986-04-16 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,small town; mainstem pond in hw; NEoA,ONTARIO, ,100,Obj1,C,GL144,FALSE,Normal,396,6621,5224,7145,3887
129,04185000,Tiffin River at Stryker OH,41.50449567,-84.4296719,41.4920998,-84.441803,US,1061.9,988.1160698,-6.948293642, , ,Ref,1913-03-01 to 2017-04-08,86,FALSE,TRUE,TRUE,TRUE,Small diversion upstream from gage for municipal supply,upstrm small towns & channelization; some reservoirs on tribs,ERIE, ,100,Obj1,C,GL154,FALSE,Normal,324,6499,5655,7023,4290
130,04196800,Tymochtee Creek at Crawford OH,40.92283322,-83.34881158,40.9286995,-83.3302002,US,608.067,663.1466151,9.058149041, , ,Ref,1990-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,remnent riparian; channelized hw,ERIE, ,100,Obj1,C,GL126,FALSE,Normal,369,6502,5764,7026,4399
131,04197100,Honey Creek at Melmore OH,41.022278,-83.1096382,41.0679016,-83.1784973,US,385.91,390.2793991,1.132232666, , ,Ref,1961-04-25 to 2017-07-13,57,FALSE,TRUE,FALSE,FALSE, ,small pond on 1 trib; NEoA,ERIE, ,100,Obj1,C,GL126,FALSE,Normal,379,6503,5729,7027,4364
132,04136000,Au Sable River near Red Oak MI,44.6769593,-84.2925146,44.6804008,-84.276001,US,2869.72,2937.341761,2.356388818, , ,Ref,1909-04-13 to 2017-04-16,28,FALSE,TRUE,TRUE,TRUE, ,forest; lt develop; NEoA,HURON, ,100,Obj1,C,GL135,FALSE,Normal,245,6561,3354,7085,2363
181,04213000,CONNEAUT C AT CONNEAUT OH,41.92699898,-80.6039659,41.9328995,-80.588501,US,453.25,496.7316684,9.593307981, , ,Ref,1923-03-04 to 2017-01-13,82,FALSE,TRUE,TRUE,TRUE, ,small towns on main trib; NEoA,ERIE, ,100,Obj1-2,C,GL046,TRUE,Normal,608,6512,6356,7036,5888
182,04256000,INDEPENDENCE RIVER AT DONNATTSBURG NY,43.74729136,-75.33434745,43.7388,-75.3509979,US,232.4457,228.7276129,-1.599550812, , ,Ref,1990-10-01 to 2019-07-02,0,FALSE,FALSE,TRUE,FALSE, ,Adirondack Park; few roads,ONTARIO, ,100,Obj1-2,C,GL013,TRUE,Normal,838,6627,5259,7151,3912
184,04126970,Boardman R above Brown Bridge Road nr Mayfield MI,44.65667,-85.436731,44.6529007,-85.4526978,US,365.19,384.6675133,5.333528648, , ,Ref,1998-04-02 to 2017-03-08,20,FALSE,TRUE,FALSE,TRUE, ,forest; lt develop; NEoA,MICHIGAN, ,100,Obj1-2,C,GL035,TRUE,Normal,295,6598,3205,7122,2237
185,04122500,PERE MARQUETTE RIVER AT SCOTTVILLE MI,43.9450063,-86.2786896,43.9337997,-86.2918015,US,1763.79,1804.553088,2.311107776, , ,Ref,1940-04-05 to 2017-03-03,78,FALSE,TRUE,TRUE,TRUE, ,Nat Scenic River; proximal small town & POTW; NEoA,MICHIGAN, ,100,Obj1-2,C,GL103,TRUE,Normal,393,6593,6095,7117,5631
186,04085200,KEWAUNEE RIVER NEAR KEWAUNEE WI,44.45833125,-87.5564746,44.4564018,-87.5521011,US,328.93,247.4755624,-24.76345655, , ,Ref,1958-04-01 to 2017-03-27,59,FALSE,TRUE,FALSE,TRUE, ,hvy ag; small towns; in hw; extensive riparian forests; NEoA,MICHIGAN, ,100,Obj1-2,C,GL031,TRUE,Normal,205,6576,6073,7100,5610
187,04059500,FORD RIVER NR HYDE MI,45.7549674,-87.2020793,45.7438011,-87.1893005,US,1165.5,1216.866169,4.407221718, , ,Ref,1955-04-15 to 2017-06-19,63,FALSE,TRUE,TRUE,TRUE, ,lt-mod ag & forest mix,MICHIGAN, ,100,Obj1-2,C,GL086,TRUE,Normal,249,6567,6053,7091,5590
188,04056500,MANISTIQUE RIVER NR MANISTIQUE MI,46.03052857,-86.161249,46.0354004,-86.1784973,US,2849,2907.362829,2.048537335, , ,Ref,1938-04-01 to 2017-04-14,80,FALSE,TRUE,TRUE,TRUE,Since July 1948; slight regulation by dam on outlet of Manistique Lake,mostly undeveloped; NEoA,MICHIGAN, ,100,Obj1-2,C,GL122,TRUE,Normal,440,6564,1666,7088,1219
190,04031000,BLACK R NR BESSEMER MI,46.5113361,-90.0746179,46.5186996,-90.0893021,US,518,510.4358082,-1.460268682, , ,Ref,1955-04-11 to 2017-05-18,45,FALSE,TRUE,TRUE,TRUE,Prior to 1967; flow included some ground water pumped from mines at Bessemer.,mostly forested; some small towns & lt development,SUPERIOR,2000-01-01 - 2000-09-30,95.83269962,Obj1-2,C,GL050,TRUE,Normal,427,6668,5999,7192,5536
191,04045500,TAHQUAMENON RIVER NR TAHQUAMENON PARADISE MI,46.5745833,-85.26963889,46.5713005,-85.2509995,US,2046.1,2007.136245,-1.904293779, , ,Ref,1954-04-29 to 2017-04-13,64,FALSE,TRUE,TRUE,TRUE, ,small dam on main trib NEoA,SUPERIOR, ,100,Obj1-2,C,GL113,TRUE,Normal,383,6673,6037,7197,5574
192,04024430,NEMADJI RIVER NEAR SOUTH SUPERIOR WI,46.6333333,-92.0938889,46.6463013,-92.0960007,US,1087.8,1126.848315,3.589659449, , ,Ref,1974-06-11 to 2017-05-18,44,FALSE,TRUE,TRUE,TRUE, ,mostly forested; NEoA,SUPERIOR, ,100,Obj1-2,C,GL082,TRUE,Normal,296,6664,5979,7188,5516
210,04122200,WHITE RIVER NEAR WHITEHALL MI,43.46417856,-86.2325668,43.4538002,-86.2460022,US,1051.54,1089.751619,3.633872146, , ,Ref,1957-11-17 to 2017-01-19,60,FALSE,TRUE,TRUE,TRUE, ,small dam on main trib; NEoA,MICHIGAN, ,100,Obj1-2,C,GL080,TRUE,Normal,387,6592,4504,7116,3205
211,04027000,BAD RIVER NEAR ODANAH WI,46.4866144,-90.696297,46.5037003,-90.6934967,US,1546.23,1527.298448,-1.224368411, , ,Ref,1915-05-16 to 2017-05-18,76,FALSE,TRUE,TRUE,TRUE, ,forested HW; NEoA,SUPERIOR, ,100,Obj1-2,C,GL100,TRUE,Normal,356,6665,1391,7189,967
