Name,Lat,Lon,Country,Drainage_area,Regulation,Regulated/Natural_Period,Reference,Q_period,Q_length,Lake,Frank,Tim,Flow info,Upstream info
02GG013,BLACK CREEK NEAR BRADSHAW,42.76243973,-82.25921631,CA,213,Natural,1900-End,,2006-2017,12,,,,,
04159492,BLACK RIVER NEAR JEDDO MI,43.152527,-82.624092,US,1197.787,Natural,,Non-ref,1944-2018,75,,FALSE,TRUE,"Diurnal fluctuation, principally during low flow, caused by an unknown source upstream from station.","upstream small towns, forested riparian, some channelization in hw"
04159900,MILL CREEK NEAR AVOCA MI,43.054471,-82.734649,US,438.7401,Natural,,Non-ref,1963-2018,56,,FALSE,TRUE,,"upstrm town, intensive ag & channelization in hw"
04160600,BELLE RIVER AT MEMPHIS MI,42.900862,-82.769091,US,390.8754,Natural,,Non-ref,1962-2018,57,,FALSE,TRUE,,upstrm channelizatoin & ag drains
04161820,CLINTON RIVER AT STERLING HEIGHTS MI,42.614478,-83.026593,US,802.8077,Natural,,Non-ref,1978-2018,40,,FALSE,FALSE,,suburban
04164000,CLINTON RIVER NEAR FRASER MI,42.577257,-82.951311,US,1143.005,Natural,,Non-ref,1947-2018,71,,FALSE,FALSE,,urban basin
04165500,CLINTON RIVER AT MORAVIAN DRIVE AT MT. CLEMENS MI,42.595867,-82.90881,US,1892.565,Natural,,Non-ref,1934-2018,85,,FALSE,TRUE,,urban basin
04166100,RIVER ROUGE AT SOUTHFIELD MI,42.447813,-83.297709,US,224.3466,Natural,,Non-ref,1958-2018,60,,FALSE,FALSE,,urban basin
04166500,RIVER ROUGE AT DETROIT MI,42.372259,-83.255485,US,475.9533,Regulated,,Non-ref,1930-2018,89,,FALSE,TRUE,Regulation by water retention structure upstream from station and some diversion by pumping for sprinkler irrigation,urban basin
04174500,HURON RIVER AT ANN ARBOR MI,42.286149,-83.733274,US,1928.162,Regulated,,Non-ref,1914-2018,105,,FALSE,TRUE,From 1962 to 1975 occasional regulation for lake level control operations upstream. Since 1975 extensive regulation of flow exists,"prox urban, upstrm regulating dams"
04176500,RIVER RAISIN NEAR MONROE MI,41.960601,-83.531046,US,2685.966,Regulated,,Non-ref,1937-2018,82,,FALSE,TRUE,"Diurnal fluctuation caused by powerplants upstream from station prior to June 27, 1968. At times, flow is affected by irrigation pumpage",upstrm cities
04177000,OTTAWA RIVER AT UNIVERSITY OF TOLEDO TOLEDO OH,41.659681,-83.612547,US,343.7883,Natural,,Non-ref,1945-2018,74,,FALSE,TRUE,,urban
04193500,MAUMEE RIVER AT WATERVILLE OH,41.500053,-83.712714,US,16409.35,Regulated,,Non-ref,1898-2018,121,,FALSE,TRUE,,many upstrm cities
04195820,PORTAGE RIVER NEAR ELMORE OH,41.491162,-83.224645,US,1266.16,Regulated,,Non-ref,1998-2018,20,,FALSE,FALSE,"Flow supplemented by water imported from Maumee River Basin for municipal supply for the city of Bowling Green 30 mi upstream. The importation of this water began Sept. 1, 1951.",hvy ag
04196800,TYMOCHTEE CREEK AT CRAWFORD OH,40.922833,-83.348812,US,608.067,Natural,,Ref,1964-2018,54,,FALSE,FALSE,,"remnent riparian, channelized hw"
04197100,HONEY CREEK AT MELMORE OH,41.022278,-83.109638,US,388.2105,Natural,,Ref,1976-2018,42,  ,FALSE,TRUE,,"small pond on 1 trib, NEoA"
04198000,SANDUSKY RIVER NEAR FREMONT OH,41.307831,-83.158809,US,3243.828,Regulated,,Non-ref,1923-2018,96,,FALSE,TRUE,,several upstrm cities
04199000,HURON RIVER AT MILAN OH,41.301719,-82.606844,US,947.3742,Regulated,,Non-ref,1950-2018,69,,FALSE,TRUE,,upstrm cities & reservoir
04199500,VERMILION R NR VERMILION OH,41.38199,-82.316827,US,672.3603,Regulated,,Non-ref,1950-2018,69,,FALSE,TRUE,,"prox suburban, hvy ag, channelized hw"
04200500,BLACK RIVER AT ELYRIA OH,41.380324,-82.104593,US,1026.93,Regulated,,Non-ref,1944-2018,75,,FALSE,TRUE,Some regulation at low flow for industrial use.,prox urban
04207200,TINKERS CREEK AT BEDFORD OH,41.384499,-81.527342,US,222.1038,Natural,,Non-ref,1962-2018,55,,FALSE,FALSE,,urban basin
04208504,CUYAHOGA RIVER NEAR NEWBURGH HEIGHTS OH,41.46255,-81.68096,US,2043.611,Natural,,Non-ref,1991-2018,27,,FALSE,FALSE,,urban
04209000,CHAGRIN RIVER AT WILLOUGHBY OH,41.630881,-81.403445,US,637.3935,Regulated,,Non-ref,1925-2018,94,,FALSE,TRUE,Water diverted 200 ft upstream from station for municipal supply of City of Willoughby until 1988.,urban & suburban basin
04212100,GRAND RIVER NEAR PAINESVILLE OH,41.718934,-81.227879,US,1784.892,Regulated,,Non-ref,1974-2018,45,,FALSE,TRUE,,"reservoirs on 2 tribs, prox suburban"
04213000,CONNEAUT CREEK AT CONNEAUT OH,41.926999,-80.603966,US,455.2974,Natural,,Ref,1922-2018,97,,FALSE,TRUE,,"small towns on main trib, NEoA"
04213500,CATTARAUGUS CR AT GOWANDA NY,42.46395,-78.935035,US,1128.811,Regulated,,Non-ref,1939-2018,80,,FALSE,TRUE,Diurnal fluctuation at low and medium flow caused by powerplant 20 mi upstream from station.,"prox urban, upstrm urban & mod-hvy ag"
04214500,BUFFALO CREEK AT GARDENVILLE NY,42.854781,-78.755031,US,368.3547,Regulated,,Non-ref,1938-2018,80,  ,FALSE,TRUE,,"mod. Ag, prox. Urban"
04215000,CAYUGA CREEK NR LANCASTER NY,42.890059,-78.645028,US,248.0184,Regulated,,Non-ref,1938-2018,80,,FALSE,TRUE,"Since August 1962, undetermined amount of flow diverted by Lancaster Country Club for irrigation upstream from station.  Concrete dam configuration modified in September 1974 resulting in a lower point of zero flow.","upstrm ag, small towns, small ponds, NEoA"
04215500,CAZENOVIA CREEK AT EBENEZER NY,42.829781,-78.775031,US,350.7246,Regulated,,Non-ref,1940-2018,78,,FALSE,TRUE,All is good,"mod. Ag, prox. Urban"
